testv3.txt opened
> offset: 21185, typeID: 5, length: 119
> offset: 21214, typeID: 5, length: 20
> offset: 21237, typeID: 3, length: 21
> offset: 21307, typeID: 1, length: 57
> offset: 21367, typeID: 5, length: 20
> offset: 21390, typeID: 17, length: 35
> offset: 21428, typeID: 1, length: 57
> offset: 21488, typeID: 5, length: 20
> offset: 21511, typeID: 5, length: 20
> offset: 21534, typeID: 17, length: 35
> offset: 21572, typeID: 1, length: 57
> offset: 21632, typeID: 9, length: 27
> offset: 21693, typeID: 1, length: 57
> offset: 21753, typeID: 5, length: 20
> offset: 21776, typeID: 5, length: 20
> offset: 21799, typeID: 17, length: 35
> offset: 21835, typeID: 2, length: 255
> offset: 21837, typeID: 1, length: 57
> offset: 21897, typeID: 8, length: 32
> offset: 21932, typeID: 2, length: 75
> offset: 22010, typeID: 1, length: 57
> offset: 22070, typeID: 5, length: 20
> offset: 22093, typeID: 1, length: 57
> offset: 22153, typeID: 5, length: 20
> offset: 22176, typeID: 17, length: 35
> offset: 22214, typeID: 1, length: 57
> offset: 22274, typeID: 5, length: 20
> offset: 22297, typeID: 1, length: 57
> offset: 22357, typeID: 3, length: 21
> offset: 22395, typeID: 5, length: 20
> offset: 22418, typeID: 17, length: 35
> offset: 22456, typeID: 1, length: 57
> offset: 22516, typeID: 3, length: 21
> offset: 22540, typeID: 5, length: 20
> offset: 22574, typeID: 5, length: 153
> offset: 22609, typeID: 1, length: 57
> offset: 22669, typeID: 5, length: 20
> offset: 22692, typeID: 17, length: 35
> offset: 22730, typeID: 1, length: 57
> offset: 22737, typeID: 19, length: 181
> offset: 22747, typeID: 4, length: 148
> offset: 22790, typeID: 5, length: 20
> offset: 22813, typeID: 1, length: 57
> offset: 22873, typeID: 14, length: 22
> offset: 22898, typeID: 5, length: 20
> offset: 22921, typeID: 17, length: 35
> offset: 22990, typeID: 1, length: 57
> offset: 22997, typeID: 6, length: 168
> offset: 23050, typeID: 5, length: 20
> offset: 23073, typeID: 1, length: 57
> offset: 23133, typeID: 8, length: 32
> offset: 23168, typeID: 5, length: 20
> offset: 23191, typeID: 17, length: 35
> offset: 23229, typeID: 2, length: 75
> offset: 23307, typeID: 1, length: 57
> offset: 23360, typeID: 10, length: 65
> offset: 23367, typeID: 5, length: 20
> offset: 23390, typeID: 17, length: 35
> offset: 23428, typeID: 1, length: 57
> offset: 23440, typeID: 254, length: 68
> offset: 23488, typeID: 5, length: 20
> offset: 23511, typeID: 1, length: 57
> offset: 23571, typeID: 5, length: 20
> offset: 23594, typeID: 17, length: 35
> offset: 23632, typeID: 1, length: 57
> offset: 23692, typeID: 3, length: 21
> offset: 23730, typeID: 5, length: 20
> offset: 23753, typeID: 1, length: 57
> offset: 23813, typeID: 3, length: 21
> offset: 23883, typeID: 5, length: 20
